Timestamp,Data,Target,Prediction
Mon Oct 09 12:04:33 2017,16,20,20.299038
Mon Oct 09 12:04:33 2017,16,20,20.046457
Mon Oct 09 12:04:34 2017,16,20,19.946438
Mon Oct 09 12:04:34 2017,16,20,19.787756
Mon Oct 09 12:04:35 2017,16,20,19.75408
Mon Oct 09 12:04:35 2017,16,20,19.782696
Mon Oct 09 12:04:36 2017,16,20,19.806456
Mon Oct 09 12:04:36 2017,16,20,19.901308
Mon Oct 09 12:04:37 2017,16,20,19.970625
Mon Oct 09 12:04:37 2017,16,20,19.923443
Mon Oct 09 12:04:38 2017,16,20,19.91024
Mon Oct 09 12:04:38 2017,15,20,20.00303
Mon Oct 09 12:04:39 2017,15,19,20.01593
Mon Oct 09 12:04:39 2017,15,19,19.585424
Mon Oct 09 12:04:40 2017,16,19,19.282915
Mon Oct 09 12:04:40 2017,16,19,19.046625
Mon Oct 09 12:04:41 2017,16,19,18.927713
Mon Oct 09 12:04:41 2017,16,19,18.785238
Mon Oct 09 12:04:42 2017,16,19,18.748184
Mon Oct 09 12:04:42 2017,16,19,18.81281
Mon Oct 09 12:04:43 2017,16,19,18.827831
Mon Oct 09 12:04:43 2017,16,19,18.878332
Mon Oct 09 12:04:44 2017,16,19,18.884684
Mon Oct 09 12:04:44 2017,16,19,18.88914
Mon Oct 09 12:04:45 2017,16,19,18.896116
Mon Oct 09 12:04:45 2017,16,19,18.931227
Mon Oct 09 12:04:46 2017,16,18,18.96084
Mon Oct 09 12:04:47 2017,16,18,18.57642
Mon Oct 09 12:04:47 2017,16,18,18.233961
Mon Oct 09 12:04:48 2017,16,18,18.001936
Mon Oct 09 12:04:48 2017,16,18,17.89889
Mon Oct 09 12:04:49 2017,16,18,17.819454
Mon Oct 09 12:04:49 2017,16,18,17.810389
Mon Oct 09 12:04:50 2017,16,18,17.878176
Mon Oct 09 12:04:50 2017,16,18,17.873718
Mon Oct 09 12:04:51 2017,16,18,17.939758
Mon Oct 09 12:04:51 2017,16,18,17.955082
Mon Oct 09 12:04:52 2017,16,18,18.001759
Mon Oct 09 12:04:52 2017,16,18,17.996899
Mon Oct 09 12:04:53 2017,16,18,18.063242
Mon Oct 09 12:04:53 2017,16,18,18.082428
Mon Oct 09 12:04:54 2017,16,18,18.041216
Mon Oct 09 12:04:54 2017,16,17,18.049692
Mon Oct 09 12:04:55 2017,16,17,17.639215
Mon Oct 09 12:04:55 2017,16,17,17.364635
Mon Oct 09 12:04:56 2017,17,17,17.087048
Mon Oct 09 12:04:56 2017,17,18,16.985994
Mon Oct 09 12:04:57 2017,17,17,17.332497
Mon Oct 09 12:04:57 2017,17,17,17.162346
Mon Oct 09 12:04:58 2017,17,17,17.089437
Mon Oct 09 12:04:58 2017,17,17,17.013311
Mon Oct 09 12:04:59 2017,17,17,16.989065
Mon Oct 09 12:04:59 2017,17,18,16.951971
Mon Oct 09 12:04:59 2017,19,17,17.37974
Mon Oct 09 12:05:00 2017,19,17,17.288944
Mon Oct 09 12:05:00 2017,20,17,17.200424
Mon Oct 09 12:05:01 2017,22,17,17.1433
Mon Oct 09 12:05:01 2017,21,17,17.123661
Mon Oct 09 12:05:02 2017,22,16,17.112532
Mon Oct 09 12:05:02 2017,22,16,16.62763
Mon Oct 09 12:05:03 2017,23,16,16.300098
Mon Oct 09 12:05:03 2017,24,16,16.103971
Mon Oct 09 12:05:04 2017,24,17,15.961789
Mon Oct 09 12:05:04 2017,24,16,16.341837
Mon Oct 09 12:05:05 2017,25,16,16.199102
Mon Oct 09 12:05:06 2017,25,16,16.089964
Mon Oct 09 12:05:06 2017,25,16,16.00131
Mon Oct 09 12:05:07 2017,25,16,16.010036
Mon Oct 09 12:05:07 2017,26,17,15.9665985
Mon Oct 09 12:05:08 2017,27,16,16.396326
Mon Oct 09 12:05:08 2017,27,16,16.272188
Mon Oct 09 12:05:09 2017,26,16,16.181736
Mon Oct 09 12:05:09 2017,27,17,16.133911
Mon Oct 09 12:05:10 2017,27,16,16.495337
Mon Oct 09 12:05:10 2017,26,17,16.404741
Mon Oct 09 12:05:11 2017,27,17,16.69896
Mon Oct 09 12:05:11 2017,25,16,16.924799
Mon Oct 09 12:05:12 2017,25,17,16.710188
Mon Oct 09 12:05:12 2017,25,17,16.900602
Mon Oct 09 12:05:13 2017,24,16,17.061075
Mon Oct 09 12:05:13 2017,24,17,16.752197
Mon Oct 09 12:05:14 2017,25,17,16.86353
Mon Oct 09 12:05:14 2017,25,16,16.996365
Mon Oct 09 12:05:15 2017,24,17,16.641077
Mon Oct 09 12:05:15 2017,24,17,16.750912
Mon Oct 09 12:05:16 2017,24,17,16.88826
Mon Oct 09 12:05:16 2017,24,17,17.029297
Mon Oct 09 12:05:17 2017,24,17,17.058893
Mon Oct 09 12:05:17 2017,24,17,17.11006
Mon Oct 09 12:05:18 2017,24,15,17.095871
Mon Oct 09 12:05:18 2017,23,15,16.25149
Mon Oct 09 12:05:19 2017,23,15,15.595016
Mon Oct 09 12:05:19 2017,23,16,15.173745
Mon Oct 09 12:05:20 2017,23,16,15.326952
Mon Oct 09 12:05:20 2017,23,16,15.425861
Mon Oct 09 12:05:21 2017,23,16,15.593742
Mon Oct 09 12:05:22 2017,23,16,15.763424
Mon Oct 09 12:05:22 2017,22,16,15.882638
Mon Oct 09 12:05:23 2017,22,16,16.030306
Mon Oct 09 12:05:23 2017,22,16,16.080374
Mon Oct 09 12:05:24 2017,22,16,16.121275
Mon Oct 09 12:05:24 2017,22,16,16.08613
Mon Oct 09 12:05:25 2017,22,16,16.110538
Mon Oct 09 12:05:25 2017,22,16,16.14187
Mon Oct 09 12:05:26 2017,22,16,16.159307
Mon Oct 09 12:05:26 2017,22,16,16.157053
Mon Oct 09 12:05:27 2017,22,16,16.155655
Mon Oct 09 12:05:27 2017,22,16,16.111343
Mon Oct 09 12:05:28 2017,21,16,16.127699
Mon Oct 09 12:05:28 2017,21,16,16.116835
Mon Oct 09 12:05:29 2017,21,16,16.136385
Mon Oct 09 12:05:29 2017,21,16,16.081175
Mon Oct 09 12:05:30 2017,21,16,16.081589
Mon Oct 09 12:05:30 2017,21,16,16.016624
Mon Oct 09 12:05:31 2017,21,16,16.052635
Mon Oct 09 12:05:31 2017,21,16,16.00755
Mon Oct 09 12:05:32 2017,21,16,16.040932
Mon Oct 09 12:05:32 2017,21,16,16.024225
Mon Oct 09 12:05:33 2017,20,16,16.060907
Mon Oct 09 12:05:33 2017,20,16,16.050932
Mon Oct 09 12:05:34 2017,20,16,16.021814
Mon Oct 09 12:05:34 2017,20,16,16.082823
Mon Oct 09 12:05:35 2017,20,16,16.054066
Mon Oct 09 12:05:35 2017,20,16,16.065453
Mon Oct 09 12:05:36 2017,20,16,16.12612
Mon Oct 09 12:05:36 2017,20,16,16.111298
Mon Oct 09 12:05:37 2017,20,16,16.126629
Mon Oct 09 12:05:37 2017,20,16,16.15971
Mon Oct 09 12:05:38 2017,20,15,16.13351
Mon Oct 09 12:05:38 2017,20,15,15.638978
Mon Oct 09 12:05:39 2017,20,15,15.375524
Mon Oct 09 12:05:40 2017,20,15,15.125353
Mon Oct 09 12:05:40 2017,19,15,15.009111
Mon Oct 09 12:05:41 2017,19,15,14.882888
Mon Oct 09 12:05:41 2017,19,15,14.85637
Mon Oct 09 12:05:42 2017,19,15,14.843665
Mon Oct 09 12:05:42 2017,19,15,14.835503
Mon Oct 09 12:05:43 2017,19,15,14.893534
Mon Oct 09 12:05:43 2017,19,15,14.905145
Mon Oct 09 12:05:44 2017,19,15,14.93933
Mon Oct 09 12:05:44 2017,19,15,14.974594
Mon Oct 09 12:05:44 2017,19,15,15.002717
Mon Oct 09 12:05:45 2017,19,15,15.0357895
Mon Oct 09 12:05:45 2017,19,16,15.068077
Mon Oct 09 12:05:46 2017,19,15,15.481149
Mon Oct 09 12:05:46 2017,19,14,15.426744
Mon Oct 09 12:05:47 2017,18,15,14.923791
Mon Oct 09 12:05:47 2017,18,15,14.97549
Mon Oct 09 12:05:48 2017,18,15,14.976794
Mon Oct 09 12:05:48 2017,18,15,15.01131
Mon Oct 09 12:05:49 2017,18,15,15.025701
Mon Oct 09 12:05:49 2017,18,15,15.05145
Mon Oct 09 12:05:50 2017,18,15,15.086267
Mon Oct 09 12:05:50 2017,18,15,15.089052
Mon Oct 09 12:05:51 2017,18,15,15.053455
Mon Oct 09 12:05:51 2017,18,15,15.072677
Mon Oct 09 12:05:52 2017,18,15,15.039657
Mon Oct 09 12:05:52 2017,18,15,15.027851
Mon Oct 09 12:05:53 2017,18,15,15.083203
Mon Oct 09 12:05:53 2017,18,15,15.07196
Mon Oct 09 12:05:54 2017,18,15,15.024621
Mon Oct 09 12:05:54 2017,18,15,15.005768
Mon Oct 09 12:05:55 2017,17,15,14.992198
Mon Oct 09 12:05:55 2017,17,15,15.095828
Mon Oct 09 12:05:56 2017,17,15,15.076376
Mon Oct 09 12:05:56 2017,17,15,15.116595
Mon Oct 09 12:05:57 2017,18,15,15.102504
Mon Oct 09 12:05:57 2017,17,15,15.071635
Mon Oct 09 12:05:58 2017,17,15,15.095224
Mon Oct 09 12:05:59 2017,17,15,15.145477
Mon Oct 09 12:05:59 2017,17,14,15.1107855
Mon Oct 09 12:06:00 2017,17,14,14.680879
Mon Oct 09 12:06:00 2017,18,14,14.344474
Mon Oct 09 12:06:01 2017,17,14,14.131144
Mon Oct 09 12:06:01 2017,17,14,13.990019
Mon Oct 09 12:06:02 2017,17,14,13.874716
Mon Oct 09 12:06:02 2017,17,14,13.822853
Mon Oct 09 12:06:03 2017,17,14,13.821688
Mon Oct 09 12:06:03 2017,16,14,13.832929
Mon Oct 09 12:06:04 2017,16,14,13.917304
Mon Oct 09 12:06:04 2017,16,14,13.924052
Mon Oct 09 12:06:05 2017,16,14,13.965161
Mon Oct 09 12:06:05 2017,17,14,13.961084
Mon Oct 09 12:06:06 2017,16,14,13.99142
Mon Oct 09 12:06:06 2017,16,14,14.014918
Mon Oct 09 12:06:07 2017,16,14,14.0248575
Mon Oct 09 12:06:07 2017,16,14,14.062084
Mon Oct 09 12:06:08 2017,16,14,14.084457
Mon Oct 09 12:06:08 2017,17,14,14.081634
Mon Oct 09 12:06:09 2017,16,14,14.132915
Mon Oct 09 12:06:09 2017,16,14,14.137971
Mon Oct 09 12:06:10 2017,16,14,14.137271
Mon Oct 09 12:06:10 2017,17,14,14.100437
Mon Oct 09 12:06:11 2017,16,14,14.132625
Mon Oct 09 12:06:11 2017,17,14,14.118532
Mon Oct 09 12:06:12 2017,17,14,14.10154
Mon Oct 09 12:06:12 2017,16,14,14.104731
Mon Oct 09 12:06:13 2017,17,14,14.076899
Mon Oct 09 12:06:13 2017,17,14,14.060875
Mon Oct 09 12:06:14 2017,16,14,14.051518
Mon Oct 09 12:06:14 2017,17,14,14.044384
Mon Oct 09 12:06:15 2017,17,14,14.028073
Mon Oct 09 12:06:16 2017,16,14,14.026135
Mon Oct 09 12:06:16 2017,17,14,13.992285
Mon Oct 09 12:06:17 2017,17,14,14.023027
Mon Oct 09 12:06:17 2017,17,14,14.082303
Mon Oct 09 12:06:18 2017,17,14,14.079773
Mon Oct 09 12:06:18 2017,17,14,14.088504
Mon Oct 09 12:06:19 2017,17,14,14.077973
Mon Oct 09 12:06:19 2017,15,14,14.10925
Mon Oct 09 12:06:20 2017,15,14,14.115234
Mon Oct 09 12:06:20 2017,15,14,14.11659
Mon Oct 09 12:06:21 2017,16,14,14.118469
Mon Oct 09 12:06:21 2017,16,14,14.115748
Mon Oct 09 12:06:22 2017,16,14,14.117713
Mon Oct 09 12:06:22 2017,16,14,14.110853
Mon Oct 09 12:06:23 2017,16,14,14.09639
Mon Oct 09 12:06:23 2017,16,14,14.0695505
Mon Oct 09 12:06:24 2017,16,14,14.084607
Mon Oct 09 12:06:24 2017,16,14,14.0653305
Mon Oct 09 12:06:25 2017,16,14,14.048395
Mon Oct 09 12:06:25 2017,16,14,14.073855
Mon Oct 09 12:06:26 2017,16,14,14.048772
Mon Oct 09 12:06:26 2017,16,14,14.028389
Mon Oct 09 12:06:27 2017,16,14,14.038024
Mon Oct 09 12:06:27 2017,16,14,14.038497
Mon Oct 09 12:06:28 2017,16,14,14.055354
Mon Oct 09 12:06:28 2017,16,14,14.053777
Mon Oct 09 12:06:29 2017,16,14,14.071748
Mon Oct 09 12:06:29 2017,16,14,14.071108
Mon Oct 09 12:06:29 2017,16,14,14.063447
Mon Oct 09 12:06:30 2017,16,14,14.075615
Mon Oct 09 12:06:30 2017,16,14,14.09152
Mon Oct 09 12:06:31 2017,16,14,14.105607
Mon Oct 09 12:06:31 2017,16,14,14.107877
Mon Oct 09 12:06:32 2017,16,14,14.106879
Mon Oct 09 12:06:32 2017,16,14,14.084243
Mon Oct 09 12:06:33 2017,16,14,14.101842
Mon Oct 09 12:06:33 2017,16,14,14.102645
Mon Oct 09 12:06:34 2017,16,14,14.097801
Mon Oct 09 12:06:35 2017,16,13,14.081564
Mon Oct 09 12:06:35 2017,16,14,13.6314335
Mon Oct 09 12:06:36 2017,16,14,13.726554
Mon Oct 09 12:06:36 2017,16,14,13.82527
Mon Oct 09 12:06:37 2017,16,14,13.933027
Mon Oct 09 12:06:37 2017,16,14,13.979467
Mon Oct 09 12:06:38 2017,16,14,14.034055
Mon Oct 09 12:06:38 2017,16,14,14.0731535
Mon Oct 09 12:06:39 2017,15,14,14.084025
Mon Oct 09 12:06:39 2017,15,14,14.122519
Mon Oct 09 12:06:40 2017,15,14,14.134986
Mon Oct 09 12:06:40 2017,15,14,14.125107
Mon Oct 09 12:06:41 2017,15,14,14.1051445
Mon Oct 09 12:06:41 2017,15,14,14.113574
Mon Oct 09 12:06:42 2017,15,14,14.129188
Mon Oct 09 12:06:42 2017,15,14,14.121889
Mon Oct 09 12:06:43 2017,15,13,14.117571
Mon Oct 09 12:06:43 2017,15,13,13.665964
Mon Oct 09 12:06:44 2017,15,13,13.339362
Mon Oct 09 12:06:44 2017,15,13,13.111989
Mon Oct 09 12:06:45 2017,15,13,12.988643
Mon Oct 09 12:06:45 2017,15,13,12.876616
