Timestamp,Data,Target,Prediction
Mon Oct 09 15:15:03 2017,19,24,23.632095
Mon Oct 09 15:15:04 2017,19,24,23.863382
Mon Oct 09 15:15:04 2017,19,24,24.056368
Mon Oct 09 15:15:05 2017,19,24,24.162336
Mon Oct 09 15:15:05 2017,19,24,24.22643
Mon Oct 09 15:15:06 2017,19,24,24.289911
Mon Oct 09 15:15:06 2017,20,24,24.277216
Mon Oct 09 15:15:07 2017,19,24,24.29412
Mon Oct 09 15:15:07 2017,19,23,24.219542
Mon Oct 09 15:15:08 2017,19,23,23.824202
Mon Oct 09 15:15:08 2017,20,23,23.481588
Mon Oct 09 15:15:09 2017,19,23,23.260014
Mon Oct 09 15:15:09 2017,19,23,23.06464
Mon Oct 09 15:15:10 2017,20,22,22.914894
Mon Oct 09 15:15:10 2017,20,23,22.429605
Mon Oct 09 15:15:11 2017,20,22,22.53108
Mon Oct 09 15:15:11 2017,21,22,22.213655
Mon Oct 09 15:15:12 2017,20,23,21.995241
Mon Oct 09 15:15:12 2017,21,23,22.26121
Mon Oct 09 15:15:13 2017,21,23,22.541634
Mon Oct 09 15:15:13 2017,20,22,22.75134
Mon Oct 09 15:15:14 2017,21,22,22.415686
Mon Oct 09 15:15:14 2017,20,22,22.235096
Mon Oct 09 15:15:15 2017,21,21,22.138716
Mon Oct 09 15:15:15 2017,21,22,21.66566
Mon Oct 09 15:15:16 2017,22,22,21.694883
Mon Oct 09 15:15:16 2017,23,22,21.715391
Mon Oct 09 15:15:17 2017,23,22,21.823503
Mon Oct 09 15:15:17 2017,25,22,21.922426
Mon Oct 09 15:15:18 2017,25,22,22.07435
Mon Oct 09 15:15:19 2017,26,21,22.123196
Mon Oct 09 15:15:19 2017,27,21,21.740646
Mon Oct 09 15:15:20 2017,27,21,21.431067
Mon Oct 09 15:15:20 2017,28,21,21.199694
Mon Oct 09 15:15:21 2017,28,21,21.069302
Mon Oct 09 15:15:21 2017,28,21,20.931164
Mon Oct 09 15:15:22 2017,29,21,20.874825
Mon Oct 09 15:15:22 2017,30,21,20.871752
Mon Oct 09 15:15:23 2017,30,21,20.87788
Mon Oct 09 15:15:23 2017,30,21,20.90681
Mon Oct 09 15:15:24 2017,31,21,20.917292
Mon Oct 09 15:15:24 2017,31,21,20.920858
Mon Oct 09 15:15:25 2017,31,21,20.948828
Mon Oct 09 15:15:25 2017,31,20,20.999619
Mon Oct 09 15:15:26 2017,30,20,20.616053
Mon Oct 09 15:15:26 2017,30,20,20.305368
Mon Oct 09 15:15:27 2017,30,20,20.072462
Mon Oct 09 15:15:27 2017,29,20,19.969215
Mon Oct 09 15:15:28 2017,29,20,19.901592
Mon Oct 09 15:15:28 2017,29,20,19.853981
Mon Oct 09 15:15:29 2017,28,20,19.9276
Mon Oct 09 15:15:29 2017,28,20,19.913767
Mon Oct 09 15:15:30 2017,28,20,19.958025
Mon Oct 09 15:15:30 2017,28,20,19.960587
Mon Oct 09 15:15:31 2017,28,20,20.024843
Mon Oct 09 15:15:31 2017,27,20,20.034294
Mon Oct 09 15:15:32 2017,27,20,20.04775
Mon Oct 09 15:15:32 2017,27,20,20.066317
Mon Oct 09 15:15:33 2017,27,20,20.076199
Mon Oct 09 15:15:33 2017,26,20,20.072319
Mon Oct 09 15:15:34 2017,26,19,20.0737
Mon Oct 09 15:15:34 2017,26,19,19.596458
Mon Oct 09 15:15:35 2017,26,19,19.262228
Mon Oct 09 15:15:35 2017,26,20,19.009336
Mon Oct 09 15:15:36 2017,25,19,19.37836
Mon Oct 09 15:15:37 2017,25,20,19.187302
Mon Oct 09 15:15:37 2017,25,19,19.461864
Mon Oct 09 15:15:38 2017,25,19,19.250866
Mon Oct 09 15:15:38 2017,25,19,19.114592
Mon Oct 09 15:15:39 2017,24,19,19.057419
Mon Oct 09 15:15:39 2017,24,19,19.006638
Mon Oct 09 15:15:40 2017,24,19,19.01166
Mon Oct 09 15:15:40 2017,25,19,18.939716
Mon Oct 09 15:15:41 2017,25,20,18.969166
Mon Oct 09 15:15:41 2017,24,19,19.399654
Mon Oct 09 15:15:42 2017,23,19,19.338078
Mon Oct 09 15:15:42 2017,23,18,19.266396
Mon Oct 09 15:15:43 2017,23,18,18.76173
Mon Oct 09 15:15:43 2017,23,19,18.397125
Mon Oct 09 15:15:44 2017,23,18,18.53155
Mon Oct 09 15:15:44 2017,23,19,18.253864
